Nombre,Tipo,Cantidad de libros,Cantidad de artículos,Cantidad de usuarios,Cantidad de proyectos,Cantidad de repositorios,Total
SRecode Template,textMarkup,0,0,200,0,705466.0,705666.0
Perl,pl,276,9,491984,13482,169830.0,675581.0
Rust,pl,65,36,302193,141,356891.0,659326.0
Grammatical Framework,grammarLanguage,0,0,265,0,624169.0,624434.0
Objective-C,pl,15,0,12380,4276,535667.0,552338.0
iOS,os,9,0,535588,5010,0.0,540607.0
Objective C++,pl,0,0,200,0,535669.0,535869.0
Arduino Programming Language,pl,265,28,527398,598,0.0,528289.0
SubRip Text,application,0,0,200,0,521758.0,521958.0
TensorFlow,library,1,0,435167,721,0.0,435889.0
Closure Templates,template,0,0,1332,0,424389.0,425721.0
Type Language,pl,0,0,200,0,404774.0,404974.0
Standard ML,pl,0,0,1726,0,392047.0,393773.0
PowerShell,pl,107,3,208708,19576,161144.0,389538.0
Node.js,pl,79,18,374143,6864,0.0,381104.0
SAS,pl,96,10,361103,4682,8407.0,374298.0
JSON,dataNotation,17,10,355741,9228,133.0,365129.0
Scala,pl,130,26,139471,4525,219084.0,363236.0
PostgreSQL,queryLanguage,40,3,340751,13084,0.0,353878.0
Dockerfile,pl,0,0,201,0,339978.0,340179.0
SCSS,stylesheetLanguage,2,0,201,0,335325.0,335528.0
Wavefront Object,application,0,0,2980,0,331144.0,334124.0
MongoDB,application,2,0,318335,3787,0.0,322124.0
Lua,pl,35,13,58860,1106,243541.0,303555.0
AWS,cloud,2,0,263168,2512,0.0,265682.0
Tex,pl,3,1,4276,3,248842.0,253125.0
Makefile,pl,0,0,1861,0,247622.0,249483.0
Module Management System,pl,0,0,0,0,222790.0,222790.0
Kubernetes,application,0,0,219846,0,0.0,219846.0
Wavefront Material,application,0,0,200,0,216089.0,216289.0
Ruby on Rails,framework,1,0,197225,6343,0.0,203569.0
XAML,xmlFormat,23,1,202885,0,0.0,202909.0
Fortran,pl,321,37,165151,1931,29127.0,196567.0
COBOL,pl,301,20,187188,2616,3411.0,193536.0
HCL,dataNotation,2,1,5740,0,180390.0,186133.0
Redis,application,0,0,182783,591,0.0,183374.0
Inno Setup,pl,0,0,490,0,178157.0,178647.0
D3.js,library,0,0,172549,0,0.0,172549.0
Mathematica,pl,72,21,148741,1553,22012.0,172399.0
Drupal,application,1,0,168605,1642,0.0,170248.0
React Native,library,1,0,170206,0,0.0,170207.0
Haskell,pl,70,34,37628,495,126924.0,165151.0
Microsoft Azure,cloud,1,0,154044,1448,0.0,155493.0
Vim,editor,0,0,152267,0,0.0,152267.0
Cap'n Proto,idl,0,0,11564,0,134567.0,146131.0
Elixir,pl,31,3,55882,214,89242.0,145372.0
Clojure,pl,60,7,59246,469,82125.0,141907.0
Jupyter Notebook,jsonFormat,0,0,200,0,137996.0,138196.0
Assembly language,assembly,0,0,26543,1329,109158.0,137030.0
Julia,pl,22,36,81911,85,53507.0,135561.0
ARM,assembly,52,32,123423,7695,0.0,131202.0
Scikit-learn,library,0,0,121955,0,0.0,121955.0
Solidity,contractLanguage,22,13,31940,937,87183.0,120095.0
Keras,library,0,0,115390,0,0.0,115390.0
PyTorch,library,0,0,107673,0,0.0,107673.0
Deno,compiler,2,0,106120,0,0.0,106122.0
EJS,template,0,0,6262,0,92857.0,99119.0
CoffeeScript,pl,17,0,23320,216,64590.0,88143.0
Groovy,pl,22,7,6056,0,76001.0,82086.0
Regular Expressions,queryLanguage,0,0,23343,0,58614.0,81957.0
Unity3D Asset,application,0,0,200,0,81061.0,81261.0
Processing,pl,42,31,2366,0,78037.0,80476.0
Batchfile,pl,0,0,4005,0,72380.0,76385.0
Jekyll,application,0,0,74748,0,0.0,74748.0
Prolog,pl,100,23,51482,446,22512.0,74563.0
Svelte,pl,0,0,70695,0,0.0,70695.0
Hack,pl,27,3,1436,19,68473.0,69958.0
PROMETHEUS,pl,0,0,69466,0,0.0,69466.0
NATO phonetic alphabet,notation,0,0,66990,0,0.0,66990.0
Literate Haskell,pl,0,0,200,0,64984.0,65184.0
Sqlalchemy,queryLanguage,4,0,65022,0,0.0,65026.0
FFmpeg,application,0,0,64706,0,0.0,64706.0
Emacs,editor,0,0,64338,0,0.0,64338.0
Gettext Catalog,textMarkup,0,0,755,0,62782.0,63537.0
x86 Assembly,assembly,0,0,2350,0,61156.0,63506.0
Lisp,pl,75,25,61481,303,0.0,61884.0
ShaderLab,pl,0,0,200,0,59455.0,59655.0
ASP,template,72,7,1865,9630,47971.0,59545.0
Magit,application,0,0,59296,0,0.0,59296.0
mermaid,textMarkup,0,0,58958,0,0.0,58958.0
CUDA,pl,35,29,38623,769,18135.0,57591.0
Pascal,pl,145,21,7708,102,49346.0,57322.0
Erlang,pl,29,37,27148,308,28645.0,56167.0
Homebrew,packageManager,0,0,56094,0,0.0,56094.0
gogs-editor,editor,0,0,55191,0,0.0,55191.0
Maple,pl,28,15,53310,511,0.0,53864.0
Verilog,hardwareDescriptionLanguage,34,18,5176,246,48035.0,53509.0
Jinja,template,0,0,13821,0,37267.0,51088.0
REST,protocol,5,8,24190,26215,0.0,50418.0
ISBN,schema,3,18,49430,53,0.0,49504.0
tldr,application,0,0,48769,0,0.0,48769.0
x86-64,isa,0,0,41291,413,0.0,41704.0
Blade,template,1,0,201,0,41201.0,41403.0
VHDL,hardwareDescriptionLanguage,50,39,6245,0,34211.0,40545.0
Ace Editor,editor,0,0,40169,0,0.0,40169.0
GDScript,pl,0,0,201,0,39447.0,39648.0
1C Enterprise Script,pl,0,0,200,0,38669.0,38869.0
Monaco Editor,editor,0,0,38687,0,0.0,38687.0
Pug,template,2,0,26938,0,11560.0,38500.0
Spin,pl,0,0,200,0,38264.0,38464.0
V,pl,0,0,36606,0,1382.0,37988.0
tornado,template,4,0,37044,0,0.0,37048.0
ROFF,textMarkup,0,0,220,0,36672.0,36892.0
Matplotlib,library,6,0,36109,0,0.0,36115.0
Yes It Is,framework,0,0,35526,0,0.0,35526.0
emberjs-framework,framework,0,0,35078,0,0.0,35078.0
Crystal,pl,0,0,27065,0,7522.0,34587.0
MicroPython,pl,30,1,34179,0,0.0,34210.0
SaltStack,pl,1,0,28719,0,4398.0,33118.0
VBA,pl,270,5,3650,511,28503.0,32939.0
QR code,barCodeFormat,0,0,32095,0,0.0,32095.0
Smarty,template,4,0,586,0,31402.0,31992.0
Elm,pl,5,2,11377,127,19905.0,31416.0
DNS Zone,application,0,0,1690,0,29634.0,31324.0
PostCSS,textMarkup,0,0,31123,0,0.0,31123.0
Edje Data Collection,jsonFormat,0,0,200,0,30865.0,31065.0
REBOL,pl,3,0,326,0,30469.0,30798.0
OCaml,pl,11,14,3341,0,27376.0,30742.0
v8,vm,0,0,30730,0,0.0,30730.0
Literate CoffeeScript,pl,0,0,22535,0,7938.0,30473.0
mochajs,library,0,0,30323,0,0.0,30323.0
highlight.js,library,0,0,30285,0,0.0,30285.0
Vcpkg,packageManager,0,0,29850,0,0.0,29850.0
Bazel,application,0,0,29776,0,0.0,29776.0
API Blueprint,pl,0,0,15183,0,14496.0,29679.0
DOT,textMarkup,0,4,1780,0,27831.0,29615.0
npm,packageManager,0,0,29587,0,0.0,29587.0
Morse code,notation,0,0,29235,0,0.0,29235.0
Simple Binary Encoding,pl,0,0,29189,0,0.0,29189.0
Handlebars,template,0,0,251,0,28186.0,28437.0
FLUX,pl,7,11,28134,0,187.0,28339.0
Zig,pl,0,0,23492,0,3909.0,27401.0
Flow,pl,14,25,27307,0,0.0,27346.0
Nim,pl,3,0,19118,0,8018.0,27139.0
Roslyn compiler,compiler,0,0,27009,0,0.0,27009.0
HHVM,vm,1,0,26990,0,0.0,26991.0
Puppet,pl,11,2,3200,0,23445.0,26658.0
FlatBuffers,idl,0,0,26585,0,0.0,26585.0
ActionScript,pl,108,2,1630,88,24615.0,26443.0
jq,queryLanguage,0,0,26342,0,60.0,26402.0
Protocol Buffers,idl,0,0,2416,94,23747.0,26257.0
Taichi,pl,0,0,26221,0,0.0,26221.0
Common Lisp,pl,6,0,1891,24,24262.0,26183.0
PL/SQL,pl,5,0,2355,2972,20365.0,25697.0
Haxe,pl,5,0,8831,1,16827.0,25664.0
XSLT,xmlFormat,24,0,200,0,25274.0,25498.0
Gradle,application,0,0,25492,0,4.0,25496.0
PL/pgSQL,pl,0,0,490,0,24919.0,25409.0
Liquid,template,2,15,13569,325,11459.0,25370.0
Racket,pl,4,10,7353,48,17790.0,25205.0
chatterbot,library,1,0,24659,0,0.0,24660.0
TLS,protocol,1,2,24595,0,0.0,24598.0
USB,standard,0,0,24430,0,0.0,24430.0
fish,pl,1,6,24362,1,0.0,24370.0
Nushell,pl,0,0,24222,0,0.0,24222.0
SciPy,library,8,0,23940,0,0.0,23948.0
Manim,framework,0,0,23655,0,0.0,23655.0
Apex,pl,19,0,201,0,22719.0,22939.0
micro-editor,editor,0,0,22815,0,0.0,22815.0
Embedded Crystal,template,0,0,22212,0,287.0,22499.0
ColdFusion,pl,36,0,1646,0,20756.0,22438.0
dgraph,application,0,0,22287,0,0.0,22287.0
jasmine,library,0,0,22184,0,0.0,22184.0
ASP.NET,pl,0,0,20,0,21976.0,21996.0
Scheme,pl,24,23,3796,1174,16742.0,21759.0
onnx,binaryDataFormat,0,0,21274,0,0.0,21274.0
HDMI,standard,0,0,21185,0,0.0,21185.0
DOI,schema,0,0,21001,0,0.0,21001.0
RobotFramework,pl,0,0,13218,0,7602.0,20820.0
ASCII,characterEncoding,0,0,20715,0,0.0,20715.0
SymPy,library,0,0,20427,0,0.0,20427.0
Microsoft Excel,application,0,0,19906,0,0.0,19906.0
TOML,dataNotation,0,0,19852,0,8.0,19860.0
UTC,timeFormat,0,0,19765,0,0.0,19765.0
Scoop,packageManager,0,0,19574,0,0.0,19574.0
D,pl,2,4,6311,0,13224.0,19541.0
Natural Language Toolkit,library,4,0,19291,0,0.0,19295.0
Ada,pl,64,50,12116,2184,4785.0,19199.0
Visual Basic,pl,0,0,15898,3294,0.0,19192.0
PgBouncer,application,0,0,19046,0,0.0,19046.0
KaTeX,textMarkup,0,0,18724,0,0.0,18724.0
GraphQL,queryLanguage,11,7,18676,0,1.0,18695.0
SOAP,xmlFormat,11,8,10535,7493,0.0,18047.0
URL,schema,0,0,17850,0,0.0,17850.0
Mindsdb,application,0,0,17602,0,0.0,17602.0
Tcl,pl,26,2,3106,0,13969.0,17103.0
UPC,pl,1,0,411,0,16668.0,17080.0
Scratch,visual,51,45,16942,0,0.0,17038.0
cloc,application,0,0,16813,0,0.0,16813.0
TCP,protocol,6,2,16700,0,0.0,16708.0
MDX,textMarkup,1,0,16679,0,0.0,16680.0
Dojo,pl,0,0,16672,0,0.0,16672.0
Iterm2,application,0,0,16642,0,0.0,16642.0
AutoHotkey,pl,7,0,1761,0,14623.0,16391.0
Chapel,pl,2,19,16150,1,212.0,16384.0
PureScript,pl,0,0,10706,0,5443.0,16149.0
LabVIEW G,pl,0,0,8125,2012,5849.0,15986.0
AssemblyScript,pl,0,0,15970,0,0.0,15970.0
QML,pl,0,0,1131,0,14755.0,15886.0
DNS,protocol,6,2,15790,0,0.0,15798.0
GIF,binaryDataFormat,0,0,15090,0,0.0,15090.0
mal,interpreter,0,0,14998,0,0.0,14998.0
Smalltalk,pl,32,16,5400,0,9336.0,14784.0
DisplayPort,standard,0,0,14770,0,0.0,14770.0
Apache Hbase,application,2,0,14552,65,0.0,14619.0
YAML,dataNotation,0,1,13981,61,525.0,14568.0
SI,notation,0,2,14430,0,0.0,14432.0
ClojureScript,pl,9,0,14223,0,0.0,14232.0
Yacc,grammarLanguage,4,1,3087,17,11041.0,14150.0
wasmer,vm,0,0,14140,0,0.0,14140.0
Prism,library,0,0,14079,0,0.0,14079.0
FTP,protocol,0,0,13916,0,0.0,13916.0
capybara,library,0,0,13847,0,0.0,13847.0
Marko,textMarkup,0,0,13537,0,101.0,13638.0
COMPONENT PASCAL,pl,0,0,200,0,13387.0,13587.0
Markdown,textMarkup,5,2,12503,0,1023.0,13533.0
UTF-8,characterEncoding,0,0,13435,0,0.0,13435.0
Unicode,characterEncoding,2,0,13380,0,0.0,13382.0
SMTP,protocol,1,1,13330,0,0.0,13332.0
gridstudio-editor,editor,0,0,13295,0,0.0,13295.0
Less,stylesheetLanguage,7,3,1151,0,12105.0,13266.0
Reason,pl,1,3,11216,0,1924.0,13144.0
Nginx,configFormat,6,0,4245,2884,5905.0,13040.0
Ninja,template,2,4,12726,0,0.0,12732.0
Graph Modeling Language,application,0,0,175,0,12488.0,12663.0
F Prime,library,0,0,12404,0,0.0,12404.0
GLSL,pl,2,0,450,0,11778.0,12230.0
Sass,stylesheetLanguage,7,1,3241,0,8972.0,12221.0
Unix,os,0,0,12105,0,0.0,12105.0
Base64,textEncodingFormat,0,1,12030,0,0.0,12031.0
CodeQL,queryLanguage,0,0,8304,0,3559.0,11863.0
OpenSCAD,pl,2,0,720,0,10989.0,11711.0
SystemVerilog,pl,9,3,1345,0,9972.0,11329.0
G-code,pl,1,0,6865,0,4457.0,11323.0
Smali,assembly,0,1,8729,0,2479.0,11209.0
Stata,pl,21,5,2816,0,8344.0,11186.0
UML,xmlFormat,112,38,11035,0,0.0,11185.0
YARA,pl,0,0,10113,0,812.0,10925.0
Visual Studio,editor,0,0,10800,0,0.0,10800.0
RAML,yamlFormat,1,0,6541,0,4190.0,10732.0
PostScript,textMarkup,13,1,2585,0,8053.0,10652.0
Numba,compiler,0,0,10558,0,0.0,10558.0
Kakoune,editor,0,0,10514,0,0.0,10514.0
PDF,binaryDataFormat,0,0,10480,0,0.0,10480.0
WebAssembly,bytecode,13,25,8291,5,1641.0,9975.0
CouchDB,application,3,0,9872,13,0.0,9888.0
mustache,template,0,0,3677,0,6085.0,9762.0
dat-protocol,protocol,0,0,9719,0,0.0,9719.0
VBScript,pl,40,0,3347,142,6076.0,9605.0
Eclipse,editor,0,0,9480,0,0.0,9480.0
RTF,textMarkup,0,0,20,0,9429.0,9449.0
Microsoft Notepad,editor,0,0,9425,0,0.0,9425.0
docopt,pl,0,0,9323,0,0.0,9323.0
xsv-app,application,0,0,9277,0,0.0,9277.0
Vimwiki,wikiMarkup,0,0,9204,0,0.0,9204.0
PowerPC,isa,10,2,9126,59,0.0,9197.0
sizzle,queryLanguage,2,0,9096,0,0.0,9098.0
RetDec,decompiler,0,0,9061,0,0.0,9061.0
Unity,library,0,0,9036,0,0.0,9036.0
Desmos,pl,0,0,8918,0,0.0,8918.0
UDP,protocol,1,5,8860,35,0.0,8901.0
Coq,pl,3,27,3613,0,5206.0,8849.0
X BitMap,application,0,0,565,0,8276.0,8841.0
MD5,hashFunction,0,0,8785,0,0.0,8785.0
4G,standard,0,0,8710,0,0.0,8710.0
edgedb,database,0,0,8666,0,0.0,8666.0
GAME,pl,99,0,8550,0,0.0,8649.0
Visual Studio Code,editor,0,0,8525,0,0.0,8525.0
Semantic Versioning,schema,0,0,8383,0,0.0,8383.0
AUTOCAD,application,0,0,8365,0,0.0,8365.0
noms-db,database,0,0,8322,0,0.0,8322.0
SHA-2,hashFunction,0,0,8275,0,0.0,8275.0
Conan,packageManager,0,0,8259,0,0.0,8259.0
SourcePawn,pl,0,0,599,0,7547.0,8146.0
Brainfuck,esolang,0,0,6460,0,1631.0,8091.0
Papyrus,pl,0,0,4560,0,3518.0,8078.0
Idris,pl,1,8,6168,1,1895.0,8073.0
Ballerina,pl,2,1,6576,0,1483.0,8062.0
Gherkin,pl,0,0,201,0,7787.0,7988.0
SQLPL,pl,0,0,370,0,7609.0,7979.0
Pony,pl,0,0,7417,0,549.0,7966.0
BASIC,pl,57,13,7025,0,829.0,7924.0
Halide,pl,0,12,7894,0,0.0,7906.0
htmx,template,0,0,7883,0,0.0,7883.0
FAT,filesystem,0,0,7860,0,0.0,7860.0
Eve,pl,0,0,7830,0,0.0,7830.0
LaTeX,textMarkup,8,5,7721,0,0.0,7734.0
Java Properties,dataNotation,0,0,1245,0,6363.0,7608.0
binaryen,compiler,0,0,7442,0,0.0,7442.0
X86,isa,22,5,7400,0,0.0,7427.0
SHA-1,hashFunction,0,0,7410,0,0.0,7410.0
Digital Visual Interface,standard,0,0,7385,0,0.0,7385.0
Delphi,pl,88,3,7084,181,0.0,7356.0
awk,pl,26,8,4680,7,2552.0,7273.0
ABAP,pl,55,2,2416,283,4488.0,7244.0
Network Time Protocol,protocol,0,0,7225,0,0.0,7225.0
MediaWiki,wikiMarkup,2,0,7133,69,10.0,7214.0
Max,jsonFormat,2,0,1246,0,5939.0,7187.0
LLVM IR,ir,0,0,5812,23,1351.0,7186.0
Slim,template,1,2,6818,0,305.0,7126.0
RDFa,xmlFormat,0,0,7116,0,0.0,7116.0
Wren,pl,0,0,7070,0,8.0,7078.0
Red,pl,0,0,6608,0,453.0,7061.0
Lightweight Directory Access Protocol,protocol,0,0,7030,0,0.0,7030.0
Bucklescript,pl,0,0,7018,0,0.0,7018.0
Telnet,protocol,0,0,6990,0,0.0,6990.0
chibicc,compiler,0,0,6912,0,0.0,6912.0
Bicep,jsonFormat,0,0,4290,0,2562.0,6852.0
PureBasic,pl,2,0,426,0,6366.0,6794.0
IcedCoffeeScript,pl,0,0,6734,0,0.0,6734.0
HAML,template,2,0,6324,0,323.0,6649.0
BMP file format,binaryDataFormat,0,0,6600,0,0.0,6600.0
ECMAScript,pl,9,3,6570,0,0.0,6582.0
Logos,pl,0,0,200,0,6281.0,6481.0
Nextflow,pl,0,1,3332,0,3132.0,6465.0
SVG,textMarkup,21,4,6405,0,27.0,6457.0
Twig,template,0,0,611,0,5791.0,6402.0
AMPL,pl,8,2,766,3,5570.0,6349.0
Tagged Image File Format,binaryDataFormat,0,0,6280,0,0.0,6280.0
commonmark,textMarkup,0,0,6270,0,0.0,6270.0
Zuo,pl,0,0,6265,0,0.0,6265.0
bosque,pl,1,0,6237,0,0.0,6238.0
contracts.coffee,pl,0,0,6219,0,0.0,6219.0
ICD-10-CM diagnosis,schema,0,0,6205,0,0.0,6205.0
Enso,pl,0,0,6195,0,0.0,6195.0
Imba,pl,0,0,6186,0,0.0,6186.0
SQLite,queryLanguage,11,0,5610,561,0.0,6182.0
penrose,pl,0,1,6177,0,0.0,6178.0
Luna,pl,0,1,6169,0,0.0,6170.0
SQF,pl,0,0,200,0,5963.0,6163.0
ToffeeScript,pl,0,0,6130,0,0.0,6130.0
BlackCoffee,pl,0,0,6106,0,0.0,6106.0
Solaris,os,0,0,6095,0,0.0,6095.0
heap.coffee,pl,0,0,6092,0,0.0,6092.0
FreeMarker,template,0,0,375,0,5703.0,6078.0
SYMBOL,pl,0,19,6050,0,0.0,6069.0
NetLogo,pl,4,10,2193,0,3859.0,6066.0
MarkovJunior,pl,0,0,6062,0,0.0,6062.0
Caffeine,pl,0,0,6023,0,0.0,6023.0
vyper,pl,0,0,5899,0,117.0,6016.0
Hy,pl,0,0,5559,0,398.0,5957.0
JSON5,dataNotation,0,0,5939,0,0.0,5939.0
tbox-lib,library,0,0,5925,0,0.0,5925.0
LuaJIT,compiler,0,0,5901,0,0.0,5901.0
skulpt,pl,0,0,5797,0,0.0,5797.0
PEG.js,grammarLanguage,0,0,5723,0,72.0,5795.0
AutoIt,pl,5,0,1011,0,4732.0,5748.0
hasklig,font,0,0,5747,0,0.0,5747.0
codecept,library,0,0,5731,0,0.0,5731.0
Jison,pl,0,0,5688,0,0.0,5688.0
Scala.js,pl,0,3,5674,0,0.0,5677.0
RMarkdown,textMarkup,2,0,5472,0,198.0,5672.0
Message Queuing Telemetry Transport,protocol,0,0,5661,0,0.0,5661.0
datascript,queryLanguage,0,0,5634,0,0.0,5634.0
LookML,pl,0,0,201,0,5427.0,5628.0
Power BI,application,0,0,5601,0,0.0,5601.0
Elvish,pl,0,0,5595,0,0.0,5595.0
Tableau Software,application,0,0,5586,0,0.0,5586.0
NSIS,pl,0,0,756,0,4747.0,5503.0
Euclidean geometry,notation,0,0,5440,0,0.0,5440.0
Stylus,stylesheetLanguage,0,0,391,0,5041.0,5432.0
Streem,pl,0,0,5376,0,0.0,5376.0
m3db,database,0,0,5360,0,0.0,5360.0
Blender,application,0,0,5360,0,0.0,5360.0
Security Assertion Markup Language,xmlFormat,0,0,5310,0,0.0,5310.0
OpenGL,library,10,0,5291,0,0.0,5301.0
Scilab,pl,15,10,1290,0,3986.0,5301.0
astro,pl,0,0,750,0,4515.0,5265.0
Sweet.js,pl,0,0,5219,0,0.0,5219.0
unison,pl,0,0,5176,0,0.0,5176.0
HTTP/2,protocol,0,0,5175,0,0.0,5175.0
MIPS architecture,isa,0,0,5145,12,0.0,5157.0
starlark,pl,0,0,1708,0,3423.0,5131.0
CSS Doodle,pl,0,0,5063,0,0.0,5063.0
GAP,pl,3,0,1289,0,3760.0,5052.0
carp,pl,0,2,5046,0,0.0,5048.0
walt,pl,0,0,5029,0,0.0,5029.0
AXIOM,pl,0,6,4990,0,0.0,4996.0
DIAGRAM,pl,4,25,4925,0,0.0,4954.0
Dhall,dataNotation,0,0,4065,0,817.0,4882.0
Zephir,pl,0,0,4740,0,91.0,4831.0
ohm,grammarLanguage,0,0,4812,0,0.0,4812.0
Triton,pl,0,0,4794,0,0.0,4794.0
Forth,pl,7,16,3230,0,1537.0,4790.0
Lean,pl,4,10,2898,0,1807.0,4719.0
Binary notation,notation,1,2,4715,0,0.0,4718.0
gleam,pl,0,0,4581,0,104.0,4685.0
Stripe company,webApi,0,0,4670,0,0.0,4670.0
Applescript,pl,15,1,1221,6,3425.0,4668.0
gravity,pl,1,6,4656,0,0.0,4663.0
Vala,pl,3,0,1171,0,3465.0,4639.0
YANG,application,0,0,4614,0,0.0,4614.0
JVM,vm,0,0,4610,0,0.0,4610.0
SuperCollider,pl,5,0,801,0,3782.0,4588.0
Frege,pl,0,0,4361,0,223.0,4584.0
Zip file format,binaryDataFormat,0,0,4550,0,0.0,4550.0
FM broadcasting,standard,0,0,4550,0,0.0,4550.0
New Technology File System,filesystem,0,0,4520,0,0.0,4520.0
ANTLR,grammarLanguage,1,1,3048,30,1415.0,4495.0
FLEX,grammarLanguage,78,4,4402,0,0.0,4484.0
PRQL,queryLanguage,0,0,4476,0,0.0,4476.0
ink,esolang,0,0,4453,0,0.0,4453.0
FreeBSD,os,0,0,4445,0,0.0,4445.0
MoonScript,pl,0,0,3585,0,818.0,4403.0
MIME,textDataFormat,1,1,4380,1,0.0,4383.0
Django,library,0,0,4375,0,0.0,4375.0
F#,pl,0,0,4316,0,0.0,4316.0
netbeans-editor,editor,0,0,4309,0,0.0,4309.0
J,pl,1,0,3779,0,468.0,4248.0
Reverse Polish notation,notation,0,0,4200,0,0.0,4200.0
Qt,framework,5,0,4171,0,0.0,4176.0
Nearley,grammarLanguage,0,0,4099,0,53.0,4152.0
APL,pl,13,28,3670,0,416.0,4127.0
RDF,dataNotation,6,17,4096,0,0.0,4119.0
Melody,pl,0,0,4099,0,0.0,4099.0
OpenCL,pl,25,46,3731,266,0.0,4068.0
BPMN,visual,2,16,4050,0,0.0,4068.0
PAWN,pl,2,0,785,0,3270.0,4057.0
SHA-3,hashFunction,0,0,4055,0,0.0,4055.0
Lex,grammarLanguage,2,0,1110,0,2902.0,4014.0
QMake,pl,0,0,375,0,3624.0,3999.0
YASnippet,textMarkup,0,0,3593,0,403.0,3996.0
Ren'Py,pl,0,0,870,0,3124.0,3994.0
odin,pl,0,2,3571,0,417.0,3990.0
chisel,hardwareDescriptionLanguage,0,0,3972,0,0.0,3972.0
Dynamo,visual,0,0,3924,0,0.0,3924.0
verona,pl,0,0,3825,0,0.0,3825.0
DIGITAL Command Language,pl,0,0,215,0,3602.0,3817.0
Coconut,pl,0,0,3809,0,0.0,3809.0
MUMPS,pl,10,3,1345,0,2448.0,3806.0
Vim script,pl,0,0,240,0,3544.0,3784.0
mgmt,pl,2,0,3781,0,0.0,3783.0
ExFAT,filesystem,0,0,3760,0,0.0,3760.0
JSON-LD,dataValidationLanguage,0,0,3731,0,0.0,3731.0
JSP,template,28,1,2965,0,729.0,3723.0
Cue,dataNotation,0,0,3714,0,0.0,3714.0
Sublime Text,editor,0,0,3691,0,0.0,3691.0
lmdb,library,0,0,3686,0,0.0,3686.0
F*,pl,0,1,3398,0,250.0,3649.0
IDL,pl,9,10,1281,0,2337.0,3637.0
ColaScript,pl,0,0,3629,0,0.0,3629.0
Laravel,framework,0,0,3625,0,0.0,3625.0
xlwings-editor,library,0,0,3614,0,0.0,3614.0
BitBake,pl,0,0,326,0,3285.0,3611.0
Terra,pl,0,4,3195,0,410.0,3609.0
CodeMirror,editor,0,0,3537,0,0.0,3537.0
RFC,notation,1,1,3520,0,0.0,3522.0
LOGLAN,pl,2,0,3515,0,0.0,3517.0
IMAP,protocol,1,0,3505,0,0.0,3506.0
kaitai,idl,0,0,3504,0,0.0,3504.0
chaiscript,pl,0,0,3485,0,0.0,3485.0
svgbob,textMarkup,0,0,3478,0,0.0,3478.0
JSON Schema,dataValidationLanguage,0,0,3369,0,0.0,3369.0
manhood,pl,1,0,3350,0,0.0,3351.0
rant,pl,0,0,3350,0,0.0,3350.0
Google Cloud Platform,cloud,0,0,3346,0,0.0,3346.0
Real-time Transport Protocol,protocol,0,0,3325,0,0.0,3325.0
Apache Maven,application,0,0,3316,0,0.0,3316.0
janet,pl,0,0,3224,0,88.0,3312.0
Hindu-Arabic numeral system,numeralSystem,0,0,3300,0,0.0,3300.0
checked-c,pl,0,0,3292,0,0.0,3292.0
Pawn,pl,0,0,15,0,3270.0,3285.0
Emojicode,pl,2,0,3247,0,0.0,3249.0
XQuery,pl,2,15,1351,125,1753.0,3246.0
AGC,assembly,3,0,3025,0,210.0,3238.0
A-0 system,compiler,0,0,3220,0,0.0,3220.0
